actor_name,actor_facebook_likes,selected
Leonardo DiCaprio,29000.0,False
Paul Walker,23000.0,False
Brad Pitt,11000.0,False
Jennifer Lawrence,34000.0,False
Jennifer Lawrence,34000.0,False
Nicolas Cage,12000.0,False
Jimmy Bennett,87000.0,False
Johnny Depp,40000.0,False
Justin Timberlake,3000.0,False
Dominic Cooper,3000.0,False
J.K. Simmons,24000.0,False
Bruce Spence,531.0,False
Jennifer Garner,3000.0,False
Zack Ward,662.0,False
Anthony Hopkins,12000.0,False
Robert Pattinson,21000.0,False
Robert Pattinson,21000.0,False
Will Smith,10000.0,False
Will Smith,10000.0,False
Johnny Depp,40000.0,False
Janeane Garofalo,1000.0,False
Christian Bale,23000.0,False
Bernie Mac,1000.0,False
Robin Williams,49000.0,False
Hugh Jackman,20000.0,False
Essie Davis,309.0,False
Josh Gad,1000.0,False
Steve Bastoni,234.0,False
Chris Hemsworth,26000.0,False
Tom Hardy,27000.0,False
Tom Hanks,15000.0,False
Chris Hemsworth,26000.0,False
Chloë Grace Moretz,17000.0,False
Kelli Garner,730.0,False
Liam Neeson,14000.0,False
Johnny Depp,40000.0,False
Tom Cruise,10000.0,False
Anthony Hopkins,12000.0,False
Christoph Waltz,11000.0,False
Matthew Broderick,2000.0,False
Angelina Jolie Pitt,11000.0,False
Seychelle Gabriel,1000.0,False
Philip Seymour Hoffman,22000.0,False
Channing Tatum,17000.0,False
Elisabeth Harnois,921.0,False
Hugh Jackman,20000.0,False
Hugh Jackman,20000.0,False
Ty Burrell,3000.0,False
Brad Pitt,11000.0,False
Jada Pinkett Smith,851.0,False
Toby Stephens,769.0,False
Ed Begley Jr.,783.0,False
Bruce Willis,13000.0,False
Will Smith,10000.0,False
Robin Wright,18000.0,False
J.K. Simmons,24000.0,False
Tom Cruise,10000.0,False
Hugh Jackman,20000.0,False
John Michael Higgins,957.0,False
Tom Cruise,10000.0,False
Christian Bale,23000.0,False
Chris Hemsworth,26000.0,False
J.K. Simmons,24000.0,False
Gerard Butler,18000.0,False
Gerard Butler,18000.0,False
Sam Shepard,820.0,False
Matt Frewer,986.0,False
Jet Li,5000.0,False
Kevin Rankin,820.0,False
Channing Tatum,17000.0,False
Matthew McConaughey,11000.0,False
Steve Buscemi,12000.0,False
Chris Evans,11000.0,False
Colin Salmon,766.0,False
James D'Arcy,613.0,False
Robert Pattinson,21000.0,False
Robin Williams,49000.0,False
Ty Burrell,3000.0,False
Mark Rylance,535.0,False
Leonardo DiCaprio,29000.0,False
Ryan Reynolds,16000.0,False
Johnny Depp,40000.0,False
Benedict Cumberbatch,19000.0,False
Matt Damon,13000.0,False
Angelina Jolie Pitt,11000.0,False
Judy Greer,2000.0,False
Jennifer Lawrence,34000.0,False
Robert Pattinson,21000.0,False
Jim Parsons,17000.0,False
Tom Cruise,10000.0,False
Will Smith,10000.0,False
Salma Hayek,4000.0,False
Angelina Jolie Pitt,11000.0,False
Anthony Hopkins,12000.0,False
Toby Jones,2000.0,False
Daniel Radcliffe,11000.0,False
Essie Davis,309.0,False
Will Smith,10000.0,False
Alfre Woodard,1000.0,False
Robin Williams,49000.0,False
J.K. Simmons,24000.0,False
Daniel Radcliffe,11000.0,False
Ryan Reynolds,16000.0,False
Johnny Depp,40000.0,False
Jennifer Lawrence,34000.0,False
Tom Hanks,15000.0,False
Miguel Ferrer,688.0,False
Hugh Jackman,20000.0,False
Paul Walker,23000.0,False
Robert Downey Jr.,21000.0,False
Liam Neeson,14000.0,False
Ronny Cox,605.0,False
Tony Curran,845.0,False
Jeremy Renner,10000.0,False
Michael Gough,920.0,False
Clint Howard,1000.0,False
Jake Gyllenhaal,15000.0,False
Tom Cruise,10000.0,False
Karen Allen,784.0,False
Chris Evans,11000.0,False
Suraj Sharma,774.0,False
Nicolas Cage,12000.0,False
Matt Damon,13000.0,False
Demi Moore,2000.0,False
Michael Fassbender,13000.0,False
Nathan Lane,886.0,False
Matt Damon,13000.0,False
Vin Diesel,14000.0,False
Gary Oldman,10000.0,False
Scott Porter,690.0,False
Shelley Conn,273.0,False
Tom Cruise,10000.0,False
Morgan Freeman,11000.0,False
Natalie Portman,20000.0,False
Natalie Portman,20000.0,False
Steve Buscemi,12000.0,False
Hugh Jackman,20000.0,False
Natalie Portman,20000.0,False
Ryan Reynolds,16000.0,False
Nicolas Cage,12000.0,False
Chris Hemsworth,26000.0,False
Noel Fisher,833.0,False
Phaldut Sharma,39.0,False
Jamie Renée Smith,650.0,False
Tim Blake Nelson,596.0,False
Robin Williams,49000.0,False
Dwayne Johnson,12000.0,False
Vincent Schiavelli,811.0,False
Heath Ledger,13000.0,False
Brad Pitt,11000.0,False
Brad Pitt,11000.0,False
Kate Winslet,14000.0,False
Leonardo DiCaprio,29000.0,False
James Corden,480.0,False
Christoph Waltz,11000.0,False
Eva Green,6000.0,False
Mahadeo Shivraj,383.0,False
Steve Buscemi,12000.0,False
Naomi Watts,6000.0,False
Hugh Jackman,20000.0,False
Jacob Tremblay,681.0,False
Jason Patric,673.0,False
Harrison Ford,11000.0,False
Bruce Willis,13000.0,False
Christopher Lee,16000.0,False
Jim Broadbent,1000.0,False
Will Smith,10000.0,False
Sean Hayes,760.0,False
Will Smith,10000.0,False
Liam Neeson,14000.0,False
Chazz Palminteri,979.0,False
Oprah Winfrey,852.0,False
Matt Damon,13000.0,False
Scarlett Johansson,19000.0,False
Del Zamora,752.0,False
Nicolas Cage,12000.0,False
Djimon Hounsou,3000.0,False
Tom Cruise,10000.0,False
Daniel Radcliffe,11000.0,False
Eva Green,6000.0,False
Cary-Hiroyuki Tagawa,1000.0,False
Joe Morton,780.0,False
Johnny Depp,40000.0,False
Denzel Washington,18000.0,False
Jamie Lee Curtis,2000.0,False
Denzel Washington,18000.0,False
Robert De Niro,22000.0,False
Dwayne Johnson,12000.0,False
Vanessa Williams,1000.0,False
Leonardo DiCaprio,29000.0,False
Demi Moore,2000.0,False
Eartha Kitt,558.0,False
Jason Statham,26000.0,False
Nicolas Cage,12000.0,False
Djimon Hounsou,3000.0,False
Catherine O'Hara,925.0,False
Hugh Jackman,20000.0,False
Josh Hutcherson,14000.0,False
Johnny Depp,40000.0,False
CCH Pounder,1000.0,False
Leonardo DiCaprio,29000.0,False
Leonardo DiCaprio,29000.0,False
Michael Gough,920.0,False
Jake Busey,660.0,False
Tom Hanks,15000.0,False
Abbie Cornish,2000.0,False
Frances Conroy,827.0,False
Dwayne Johnson,12000.0,False
Joseph Gordon-Levitt,23000.0,False
Will Ferrell,8000.0,False
Jason Statham,26000.0,False
Ray Winstone,1000.0,False
Jamie Kennedy,490.0,False
Chris Hemsworth,26000.0,False
Rosario Dawson,3000.0,False
Matt Damon,13000.0,False
Francesca Capaldi,144.0,False
Ben Gazzara,623.0,False
Dwayne Johnson,12000.0,False
Leonardo DiCaprio,29000.0,False
Jeff Bridges,12000.0,False
Jon Lovitz,11000.0,False
Ioan Gruffudd,2000.0,False
Will Ferrell,8000.0,False
Milla Jovovich,14000.0,False
Chris Noth,962.0,False
Frank Welker,2000.0,False
Peter Dinklage,22000.0,False
Hayley Atwell,2000.0,False
Michael Imperioli,873.0,False
Alexander Gould,1000.0,False
Orlando Bloom,5000.0,False
Christopher Lee,16000.0,False
Jeff Bridges,12000.0,False
Angelina Jolie Pitt,11000.0,False
Johnny Depp,40000.0,False
Michael Jeter,693.0,False
James Franco,11000.0,False
Martin Short,770.0,False
Bruce Willis,13000.0,False
Dennis Quaid,2000.0,False
Holly Hunter,1000.0,False
Christopher Masterson,1000.0,False
Logan Lerman,8000.0,False
Will Smith,10000.0,False
Tom Hanks,15000.0,False
Denzel Washington,18000.0,False
Mei Melançon,191.0,False
Harrison Ford,11000.0,False
Will Forte,622.0,False
Denis Leary,835.0,False
Adam Scott,3000.0,False
Bill Murray,13000.0,False
Leonardo DiCaprio,29000.0,False
Ming-Na Wen,2000.0,False
Robert Downey Jr.,21000.0,False
Robin Wright,18000.0,False
Bruce Willis,13000.0,False
Robert Downey Jr.,21000.0,False
Leonard Nimoy,12000.0,False
Bella Thorne,35000.0,False
Tom Cruise,10000.0,False
Adam Sandler,11000.0,False
Peter Dinklage,22000.0,False
Haley Joel Osment,3000.0,False
Marsha Thomason,691.0,False
Matthew McConaughey,11000.0,False
Greg Grunberg,833.0,False
Logan Lerman,8000.0,False
Gerard Butler,18000.0,False
Daniel Radcliffe,11000.0,False
Alun Armstrong,192.0,False
Brad Pitt,11000.0,False
Don Cheadle,3000.0,False
Anne Hathaway,11000.0,False
Robin Williams,49000.0,False
Don Cheadle,3000.0,False
Harrison Ford,11000.0,False
Liam Neeson,14000.0,False
Tim Blake Nelson,596.0,False
William Smith,919.0,False
Paddy Considine,680.0,False
Shirley Henderson,887.0,False
Jeff Bridges,12000.0,False
Philip Seymour Hoffman,22000.0,False
Paul Walker,23000.0,False
Tom Hanks,15000.0,False
Robin Williams,49000.0,False
Matt Damon,13000.0,False
Harrison Ford,11000.0,False
Brad Pitt,11000.0,False
Milla Jovovich,14000.0,False
Steve Buscemi,12000.0,False
Jeff Bennett,283.0,False
Denzel Washington,18000.0,False
Ioan Gruffudd,2000.0,False
Matthew Broderick,2000.0,False
Kate Winslet,14000.0,False
Will Smith,10000.0,False
Meryl Streep,11000.0,False
Al Pacino,14000.0,False
Jon Favreau,4000.0,False
Kate Winslet,14000.0,False
Bob Hoskins,5000.0,False
Dwayne Johnson,12000.0,False
F. Murray Abraham,670.0,False
Li Gong,879.0,False
Amber Stevens West,584.0,False
Jim Broadbent,1000.0,False
Anthony Hopkins,12000.0,False
Raymond Cruz,672.0,False
Julia Roberts,8000.0,False
Anna Kendrick,10000.0,False
Glenn Morshower,894.0,False
Larry Miller,611.0,False
Sarah Michelle Gellar,4000.0,False
Wood Harris,409.0,False
Adam Sandler,11000.0,False
Jack McBrayer,975.0,False
Kristen Stewart,17000.0,False
Seth MacFarlane,3000.0,False
Robert Downey Jr.,21000.0,False
Robert Duvall,3000.0,False
Morgan Freeman,11000.0,False
Jason Statham,26000.0,False
Tom Cruise,10000.0,False
Jennifer Lawrence,34000.0,False
Bradley Cooper,14000.0,False
Michael Gough,920.0,False
Bruce Willis,13000.0,False
Tia Carrere,1000.0,False
Morgan Freeman,11000.0,False
Bruce Willis,13000.0,False
Adam Sandler,11000.0,False
Amy Poehler,1000.0,False
Steve Buscemi,12000.0,False
Bill Murray,13000.0,False
Keanu Reeves,18000.0,False
Leonardo DiCaprio,29000.0,False
Jon Favreau,4000.0,False
Jim Broadbent,1000.0,False
Nicolas Cage,12000.0,False
Adam Sandler,11000.0,False
Tom Hanks,15000.0,False
Adam Sandler,11000.0,False
Steve Buscemi,12000.0,False
Rosario Dawson,3000.0,False
Philip Seymour Hoffman,22000.0,False
Denzel Washington,18000.0,False
Robin Williams,49000.0,False
Liam Neeson,14000.0,False
Bill Murray,13000.0,False
Roger Rees,1000.0,False
Keanu Reeves,18000.0,False
Julia Roberts,8000.0,False
Brad Pitt,11000.0,False
Harrison Ford,11000.0,False
Justin Timberlake,3000.0,False
Matt Damon,13000.0,False
Rosario Dawson,3000.0,False
Gary Oldman,10000.0,False
Denzel Washington,18000.0,False
Steve Buscemi,12000.0,False
Quincy Jones,340.0,False
Mark Addy,891.0,False
Charlize Theron,9000.0,False
Hugh Jackman,20000.0,False
Robin Williams,49000.0,False
Adam Sandler,11000.0,False
Matt Damon,13000.0,False
Natalie Portman,20000.0,False
Bruce Willis,13000.0,False
Bruce Greenwood,981.0,False
Sylvester Stallone,13000.0,False
Charlie Rowe,882.0,False
Richard Tyson,743.0,False
Brendan Fraser,3000.0,False
Fergie,529.0,False
Paul Walker,23000.0,False
Olivia Williams,766.0,False
Adam Goldberg,1000.0,False
Vin Diesel,14000.0,False
Bob Neill,2.0,False
Mia Farrow,563.0,False
David Oyelowo,1000.0,False
Sasha Roiz,795.0,False
Adam Goldberg,1000.0,False
Matthew Broderick,2000.0,False
Josh Hutcherson,14000.0,False
Will Forte,622.0,False
Philip Seymour Hoffman,22000.0,False
J.K. Simmons,24000.0,False
Al Pacino,14000.0,False
Paul Walker,23000.0,False
Jeff Bridges,12000.0,False
Roger Rees,1000.0,False
Robert De Niro,22000.0,False
Steve Coogan,1000.0,False
Jason Flemyng,1000.0,False
Steve Carell,7000.0,False
Will Smith,10000.0,False
Ariana Richards,610.0,False
Jada Pinkett Smith,851.0,False
Charlie Hunnam,16000.0,False
Hugh Jackman,20000.0,False
Angelina Jolie Pitt,11000.0,False
Nicolas Cage,12000.0,False
Denis Leary,835.0,False
Adam Sandler,11000.0,False
Jerry Stiller,719.0,False
James D'Arcy,613.0,False
Matthew Broderick,2000.0,False
Morgan Freeman,11000.0,False
Steve Buscemi,12000.0,False
Tom Hanks,15000.0,False
Don Cheadle,3000.0,False
Nicholas Lea,867.0,False
Philip Seymour Hoffman,22000.0,False
Robert De Niro,22000.0,False
Loretta Devine,912.0,False
Dwayne Johnson,12000.0,False
Ayelet Zurer,745.0,False
Bruce Willis,13000.0,False
Tom Selleck,19000.0,False
Henry Cavill,15000.0,False
Adam Sandler,11000.0,False
Steve Buscemi,12000.0,False
Bruce Willis,13000.0,False
Julia Ormond,919.0,False
Bai Ling,582.0,False
Henry Cavill,15000.0,False
Jimmy Bennett,87000.0,False
Matt Damon,13000.0,False
Harrison Ford,11000.0,False
Connie Nielsen,933.0,False
Brendan Fraser,3000.0,False
Dennis Quaid,2000.0,False
Robin Wright,18000.0,False
Steve Carell,7000.0,False
Jon Hamm,4000.0,False
Nicolas Cage,12000.0,False
Peter Coyote,548.0,False
Peter Dinklage,22000.0,False
Matthew McConaughey,11000.0,False
Adam Sandler,11000.0,False
Jennifer Garner,3000.0,False
Will Ferrell,8000.0,False
Raven-Symoné,1000.0,False
Mhairi Calvey,906.0,False
Jake Gyllenhaal,15000.0,False
Albert Brooks,745.0,False
Martin Landau,940.0,False
Sylvester Stallone,13000.0,False
David Gant,21.0,False
Bryce Dallas Howard,3000.0,False
Oliver Platt,1000.0,False
Rory Culkin,710.0,False
Rupert Everett,692.0,False
John Ratzenberger,1000.0,False
Julia Roberts,8000.0,False
Vin Diesel,14000.0,False
Tim Conway,870.0,False
Lili Taylor,960.0,False
Michael Fassbender,13000.0,False
Robin Williams,49000.0,False
Dwayne Johnson,12000.0,False
Bruce Willis,13000.0,False
Jeremy Renner,10000.0,False
Tom Cruise,10000.0,False
Bryce Dallas Howard,3000.0,False
Sanaa Lathan,886.0,False
Amy Poehler,1000.0,False
Jon Hamm,4000.0,False
Gerard Butler,18000.0,False
LeVar Burton,1000.0,False
Noel Fisher,833.0,False
Steve Buscemi,12000.0,False
David Hyde Pierce,443.0,False
Jeremy Irvine,25000.0,False
Bill Murray,13000.0,False
Michael Biehn,2000.0,False
Frank Langella,903.0,False
Dominic Cooper,3000.0,False
Denzel Washington,18000.0,False
Henry Cavill,15000.0,False
Brad Pitt,11000.0,False
Channing Tatum,17000.0,False
Anthony Hopkins,12000.0,False
Dwayne Johnson,12000.0,False
Gary Cole,989.0,False
Theo James,5000.0,False
James Martin Kelly,394.0,False
Bruce Willis,13000.0,False
Jason Statham,26000.0,False
LL Cool J,1000.0,False
Talisa Soto,349.0,False
Morgan Freeman,11000.0,False
Ron Howard,2000.0,False
Chris Hemsworth,26000.0,False
Angelina Jolie Pitt,11000.0,False
Charlotte Rampling,844.0,False
Sylvester Stallone,13000.0,False
Roxanne McKee,576.0,False
Morgan Freeman,11000.0,False
Robert Pattinson,21000.0,False
Robert De Niro,22000.0,False
Steve Carell,7000.0,False
Vincent Pastore,584.0,False
Liam Neeson,14000.0,False
Max Minghella,614.0,False
Janeane Garofalo,1000.0,False
Jenna Fischer,966.0,False
Al Pacino,14000.0,False
Leonardo DiCaprio,29000.0,False
Rufus Sewell,3000.0,False
Will Patton,537.0,False
Martin Landau,940.0,False
Colin Firth,14000.0,False
Tom Hanks,15000.0,False
Rami Malek,3000.0,False
Judy Greer,2000.0,False
Goran Visnjic,1000.0,False
Morgan Freeman,11000.0,False
Joseph Gordon-Levitt,23000.0,False
Keanu Reeves,18000.0,False
Tom Hanks,15000.0,False
Ronny Cox,605.0,False
Judge Reinhold,901.0,False
Hugh Jackman,20000.0,False
Tom Hanks,15000.0,False
Will Ferrell,8000.0,False
Anthony Hopkins,12000.0,False
Robert Downey Jr.,21000.0,False
Finn Wittrock,769.0,False
Clint Eastwood,16000.0,False
Sylvester Stallone,13000.0,False
Delroy Lindo,848.0,False
Bruce Willis,13000.0,False
Nicolas Cage,12000.0,False
Julia Roberts,8000.0,False
Sayed Badreya,600.0,False
Tom Cruise,10000.0,False
Quvenzhané Wallis,2000.0,False
Will Smith,10000.0,False
Tom Hardy,27000.0,False
Ryan Reynolds,16000.0,False
Maura Tierney,509.0,False
Milla Jovovich,14000.0,False
Jason Statham,26000.0,False
Melina Kanakaredes,394.0,False
Pamela Reed,324.0,False
Kristen Stewart,17000.0,False
Brad Pitt,11000.0,False
Matthew McConaughey,11000.0,False
Bruce Willis,13000.0,False
Michael Rapaport,975.0,False
Caitlin Stasey,623.0,False
Ian McNeice,268.0,False
Jennifer Garner,3000.0,False
Joseph Gordon-Levitt,23000.0,False
Harrison Ford,11000.0,False
Michael Kelly,963.0,False
Michael Smiley,177.0,False
Verne Troyer,645.0,False
Nicolas Cage,12000.0,False
Wayne Knight,967.0,False
Dennis Quaid,2000.0,False
Harrison Ford,11000.0,False
Chazz Palminteri,979.0,False
Matthew McConaughey,11000.0,False
Shawna Waldron,524.0,False
Justin Timberlake,3000.0,False
Jon Lovitz,11000.0,False
Craig Stark,46000.0,False
Will Ferrell,8000.0,False
Gary Cole,989.0,False
Gerard Butler,18000.0,False
Robert De Niro,22000.0,False
Eric Dane,2000.0,False
Tom Hanks,15000.0,False
Catherine O'Hara,925.0,False
Patrick Fugit,835.0,False
Matt Damon,13000.0,False
Izabella Scorupco,394.0,False
Daniel von Bargen,577.0,False
Natascha McElhone,2000.0,False
Martin Short,770.0,False
Anjelica Huston,1000.0,False
Denzel Washington,18000.0,False
Carol Ann Susi,3000.0,False
Jason Statham,26000.0,False
Dorian Missick,1000.0,False
Sylvester Stallone,13000.0,False
Jon Favreau,4000.0,False
Tom Cruise,10000.0,False
Taylor Lautner,12000.0,False
Ki Hong Lee,988.0,False
James Franco,11000.0,False
Nicolas Cage,12000.0,False
Bruce Willis,13000.0,False
Al Pacino,14000.0,False
Scarlett Johansson,19000.0,False
Tom Cruise,10000.0,False
Dwayne Johnson,12000.0,False
Billy Burke,2000.0,False
Tom Cruise,10000.0,False
LL Cool J,1000.0,False
Misha Gabriel Hamilton,433.0,False
Matt Damon,13000.0,False
Estella Warren,658.0,False
Jennifer Saunders,309.0,False
Zooey Deschanel,11000.0,False
Denzel Washington,18000.0,False
Robert Downey Jr.,21000.0,False
Snoop Dogg,881.0,False
Jim Belushi,854.0,False
James Babson,366.0,False
Robert Duvall,3000.0,False
Anna Kendrick,10000.0,False
J.K. Simmons,24000.0,False
Ivana Milicevic,834.0,False
Joe Mantegna,1000.0,False
Emma Watson,9000.0,False
Romany Malco,966.0,False
Peter Greene,789.0,False
Colm Feore,539.0,False
Jennifer Lawrence,34000.0,False
Gerard Butler,18000.0,False
Gary Dourdan,1000.0,False
Tate Donovan,650.0,False
Isaac Hempstead Wright,874.0,False
Goran Visnjic,1000.0,False
Morgan Freeman,11000.0,False
Eileen Brennan,1000.0,False
Christian Bale,23000.0,False
Ryan Gosling,33000.0,False
Olivia Wilde,10000.0,False
Matt Damon,13000.0,False
Julia Roberts,8000.0,False
Steven Anthony Lawrence,1000.0,False
Blair Brown,310.0,False
Dwayne Johnson,12000.0,False
Tom Hardy,27000.0,False
Cedric the Entertainer,436.0,False
Bojana Novakovic,2000.0,False
John Kapelos,510.0,False
Robert De Niro,22000.0,False
Robert De Niro,22000.0,False
Bruce Willis,13000.0,False
Robert Downey Jr.,21000.0,False
Matt Damon,13000.0,False
Philip Seymour Hoffman,22000.0,False
Sunny Mabrey,287.0,False
Josh Wingate,865.0,False
Brad Pitt,11000.0,False
Sean Pertwee,722.0,False
Chris Hemsworth,26000.0,False
Joe Morton,780.0,False
Scarlett Johansson,19000.0,False
James Franco,11000.0,False
Clifton Collins Jr.,968.0,False
Robert Forster,889.0,False
Matt Bomer,20000.0,False
Aidan Turner,5000.0,False
Marc Blucas,973.0,False
Dougray Scott,794.0,False
Matthew McConaughey,11000.0,False
Brendan Fraser,3000.0,False
Scarlett Johansson,19000.0,False
Johnny Depp,40000.0,False
Jason Statham,26000.0,False
Angelina Jolie Pitt,11000.0,False
Ryan Reynolds,16000.0,False
Kelly Preston,743.0,False
Bradley Cooper,14000.0,False
Odeya Rush,2000.0,False
Jon Heder,970.0,False
Taylor Negron,1000.0,False
Sylvester Stallone,13000.0,False
Robert Baker,142.0,False
Michael Kelly,963.0,False
Josh Gad,1000.0,False
Milla Jovovich,14000.0,False
David Oyelowo,1000.0,False
Keanu Reeves,18000.0,False
Adam Sandler,11000.0,False
Dennis Quaid,2000.0,False
Salma Hayek,4000.0,False
Nicolas Cage,12000.0,False
Christian Bale,23000.0,False
Vin Diesel,14000.0,False
Dwayne Johnson,12000.0,False
Tom Hanks,15000.0,False
Jesse McCartney,1000.0,False
Robert De Niro,22000.0,False
Christian Bale,23000.0,False
Marlon Brando,10000.0,False
Jada Pinkett Smith,851.0,False
Will Smith,10000.0,False
Brendan Fraser,3000.0,False
Alyson Hannigan,3000.0,False
Tom Hanks,15000.0,False
Mila Kunis,15000.0,False
Eric Idle,795.0,False
Denzel Washington,18000.0,False
Bob Hoskins,5000.0,False
Denzel Washington,18000.0,False
Will Smith,10000.0,False
Erika Christensen,931.0,False
Demi Moore,2000.0,False
Nicolas Cage,12000.0,False
David Carradine,926.0,False
Robert Downey Jr.,21000.0,False
Vivica A. Fox,890.0,False
Sylvester Stallone,13000.0,False
Bruce Willis,13000.0,False
Xander Berkeley,485.0,False
Oliver Platt,1000.0,False
Madeline Carroll,1000.0,False
Jet Li,5000.0,False
Amy Poehler,1000.0,False
Charles S. Dutton,534.0,False
Andrea Corr,57.0,False
Robert De Niro,22000.0,False
Tom Wilkinson,1000.0,False
Julie Walters,838.0,False
Will Forte,622.0,False
Connie Nielsen,933.0,False
Anthony Hopkins,12000.0,False
Matt Damon,13000.0,False
Will Ferrell,8000.0,False
Salma Hayek,4000.0,False
Angelina Jolie Pitt,11000.0,False
Keanu Reeves,18000.0,False
Robert De Niro,22000.0,False
Gerard Butler,18000.0,False
Eddie Redmayne,13000.0,False
Charlize Theron,9000.0,False
Billy Campbell,789.0,False
Hector Elizondo,995.0,False
Stephen Root,939.0,False
Ty Burrell,3000.0,False
Sophia Myles,956.0,False
Eric Dane,2000.0,False
Norman Reedus,12000.0,False
Will Smith,10000.0,False
Sylvester Stallone,13000.0,False
Al Pacino,14000.0,False
Orlando Bloom,5000.0,False
Todd Stashwick,277.0,False
Margot Kidder,593.0,False
Todd Giebenhain,117.0,False
Kate Winslet,14000.0,False
Christian Bale,23000.0,False
Kirsten Dunst,4000.0,False
Jim Broadbent,1000.0,False
Steve Buscemi,12000.0,False
Johnny Depp,40000.0,False
Paul Walker,23000.0,False
Gerard Butler,18000.0,False
Quentin Tarantino,16000.0,False
Oprah Winfrey,852.0,False
Robert Downey Jr.,21000.0,False
Leonardo DiCaprio,29000.0,False
Jennifer Ehle,1000.0,False
Jon Favreau,4000.0,False
Colin Firth,14000.0,False
Bradley Cooper,14000.0,False
Alice Greczyn,631.0,False
Nick Stahl,648.0,False
Ryan Reynolds,16000.0,False
Matt Price,134.0,False
Robert De Niro,22000.0,False
Kasia Smutniak,211.0,False
Jaime King,961.0,False
Robert Forster,889.0,False
Rob Paulsen,677.0,False
Robert Pattinson,21000.0,False
Kathleen Freeman,145.0,False
Matt Damon,13000.0,False
Alan Rickman,25000.0,False
Tom Cruise,10000.0,False
Mila Kunis,15000.0,False
Lupe Ontiveros,625.0,False
Robin Williams,49000.0,False
Harrison Ford,11000.0,False
Steve Buscemi,12000.0,False
Joel Courtney,1000.0,False
Julia Roberts,8000.0,False
Matthew McConaughey,11000.0,False
Channing Tatum,17000.0,False
Brad Pitt,11000.0,False
Bradley Cooper,14000.0,False
Dwayne Johnson,12000.0,False
Julia Roberts,8000.0,False
Will Ferrell,8000.0,False
Johnny Depp,40000.0,False
Denzel Washington,18000.0,False
Bill Duke,1000.0,False
Dylan Walsh,426.0,False
Nicolas Cage,12000.0,False
Bradley Cooper,14000.0,False
Ryan Gosling,33000.0,False
Bill Murray,13000.0,False
Jamie Lee Curtis,2000.0,False
Philip Seymour Hoffman,22000.0,False
Kevin Spacey,18000.0,False
Liam Neeson,14000.0,False
Dwayne Johnson,12000.0,False
Natalie Portman,20000.0,False
Fann Wong,154.0,False
